train_loss;val_loss;val_acc;dt
0,8959720553;0,7652578238;0,7796610169;40,5274879932
0,8504752678;0,736016964;0,7844279661;40,5193030834
0,8859258805;0,7518985903;0,7791313559;40,5213620663
0,8978400122;0,7170954321;0,7860169492;40,5818479061
0,8617144112;0,7435755664;0,781779661;40,5992279053
0,8697061609;0,7387997897;0,7902542373;40,698376894
0,8869061485;0,7677680219;0,7754237288;40,6588480473
0,8637490168;0,7555550584;0,7658898305;40,5350799561
0,8744132662;0,7143549672;0,7902542373;40,6119191647
0,8620200805;0,7189296383;0,7902542373;40,5762629509
0,8476643771;0,70361518;0,7886652542;40,7106590271
0,8698244713;0,7596398723;0,7780720339;41,3118729591
0,8755490035;0,7221662549;0,7902542373;40,7718451023
0,8352522323;0,7308281766;0,7934322034;40,8833680153
0,8490944065;0,8387495163;0,7457627119;41,6160299778
0,8496767294;0,7077186032;0,7897245763;41,1218571663
0,8465783639;0,7041203895;0,7971398305;41,624158144
0,8270311396;0,7354530136;0,7695974576;40,7453951836
0,8232675779;0,6897500112;0,7939618644;40,6787979603
0,8492345801;0,6950927331;0,7860169492;43,731096983
0,8463991;0,7172124931;0,7891949153;42,586714983
0,8170310423;0,7306491722;0,7780720339;42,3472311497
0,8275136611;0,6876341958;0,7923728814;48,3825638294
0,8038946033;0,7073932381;0,7902542373;47,0729920864
0,8413116714;0,7402339871;0,780190678;47,4540431499
0,8119004218;0,7070500063;0,7891949153;41,1960439682
0,7931144553;0,7028313688;0,7971398305;40,8168261051
0,8369765238;0,7087943584;0,7796610169;40,5439021587
0,803721036;0,6790749481;0,7865466102;40,6976809502
0,8336789583;0,694494306;0,7997881356;40,4783918858
0,7934224854;0,7113054698;0,7891949153;41,3074369431
0,8433912387;0,7186955143;0,7849576271;40,7094638348
0,805928679;0,6832798139;0,8013771186;40,6518640518
0,7974750476;0,6870478912;0,7981991525;40,629832983
0,7918658644;0,6951754123;0,7929025424;41,7562401295
0,7810824847;0,6799185822;0,8019067797;40,5817859173
0,7917976102;0,7014774119;0,7966101695;41,1707520485
0,8045923086;0,6762405674;0,7987288136;41,1369669437
0,8101134321;0,6655402764;0,8019067797;40,9216630459
0,7952783521;0,6687808166;0,8066737288;40,9366550446
0,7790319712;0,6683989192;0,8093220339;41,0257709026
0,7484905784;0,708746409;0,7997881356;41,4366807938
0,7482262705;0,66157326;0,8072033898;41,0692100525
0,786968116;0,6771377052;0,8066737288;40,437125206
0,7792412114;0,6544583187;0,8082627119;40,4039180279
0,7764224972;0,6855921134;0,8066737288;40,4029431343
0,7489718847;0,6828231407;0,7992584746;41,1057100296
0,7666109082;0,6394594857;0,8156779661;43,286550045
0,7423116079;0,6968893358;0,7918432203;41,6449592113
0,766083107;0,6677999618;0,8087923729;41,9721291065
0,7343786351;0,6823294334;0,8056144068;41,4804549217
0,743903933;0,6732532185;0,7923728814;40,9345898628
0,754429567;0,6912874324;0,7976694915;40,8291940689
0,7353173833;0,7012653235;0,7860169492;40,6979920864
0,7438356487;0,6494319111;0,8125;40,7964229584
0,7372419702;0,7124983385;0,7891949153;40,891340971
0,7269867399;0,7009550636;0,7870762712;40,807956934
0,7502906881;0,6879890303;0,7997881356;41,3280589581
0,7370976937;0,6580509387;0,8061440678;40,4175899029
0,7397347812;0,685113278;0,8072033898;40,4635331631
0,7267501688;0,6820848976;0,7960805085;41,1422801018
0,7298215145;0,6709450645;0,7997881356;41,4993739128
0,7335264273;0,6458707356;0,8103813559;41,9945139885
0,698786381;0,6755762479;0,7981991525;41,3737790585
0,7177685146;0,664283317;0,813559322;40,9373710155
0,7267148888;0,6918674707;0,7976694915;41,6160109043
0,7112951727;0,6721637204;0,8109110169;42,1573569775
0,7155431961;0,6772924742;0,8003177966;40,4064929485
0,7095593351;0,6647736794;0,8082627119;42,1095058918
0,7163781817;0,6874147118;0,8019067797;41,319270134
0,7163673194;0,6512614044;0,8093220339;40,5535669327
0,7119434042;0,6673017932;0,8066737288;40,7616281509
0,7051679888;0,6420613272;0,8093220339;41,8437831402
0,7095681043;0,6404556008;0,813559322;42,3795220852
0,7278049716;0,6797906494;0,813559322;40,7527220249
0,7029743052;0,6577229108;0,813559322;40,4713630676
0,7274644427;0,6887847246;0,7997881356;40,4776899815
0,6998665062;0,653765025;0,8050847458;40,5572741032
0,7024785014;0,6634870363;0,8082627119;40,6255140305
0,6879748942;0,6513088209;0,8167372881;40,4338860512
0,6920907299;0,6557650319;0,8082627119;40,4162998199
0,6815504548;0,6579327972;0,8082627119;40,4373831749
0,7116764779;0,6371417849;0,811970339;40,7887659073
0,7064632869;0,6606631799;0,8103813559;40,3945469856
